"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"53","Azoxystrobin","Onion",21,0.290957186981323,2.73142857142858,3.24423943688032,3.25726044529227,"Insignificant"
"54","Azoxystrobin","Orange",21,0.290957186981323,-6.73460317460317,6.65632518538157,6.66268122141537,"Insignificant"
"55","Azoxystrobin","Spinach",13,0.369800130816819,3.47282051282052,1.63496621675022,1.67626569095316,"Significant"
"56","Azoxystrobin","Strawberries",21,0.290957186981323,-0.629841269841268,8.56521119128552,8.57015162269483,"Insignificant"
"57","Benalaxyl","Apple",21,0.290957186981323,-2.43809523809524,5.07322257560097,5.08155914914344,"Insignificant"
"58","Benalaxyl","Avocado",21,0.290957186981323,-7.8431746031746,7.65573354321165,7.66126048175574,"Insignificant"
"59","Benalaxyl","Carrot",21,0.290957186981323,0.271746031746037,4.60576349311353,4.61494457595684,"Insignificant"
"60","Benalaxyl","Onion",20,0.298142396999972,0.706000000000005,4.14452920597518,4.15523900974061,"Insignificant"
"61","Benalaxyl","Orange",21,0.290957186981323,2.72507936507937,6.58550391382025,6.59192823713956,"Insignificant"
"62","Benalaxyl","Spinach",10,0.421637021355784,4.08133333333334,2.54142528301262,2.5761638625898,"Insignificant"
"63","Benalaxyl","Strawberries",20,0.298142396999972,-0.714666666666662,3.34828198942409,3.36152958779045,"Insignificant"
"64","beta-BHC","Apple",21,0.290957186981323,-1.02920634920635,3.8431020318895,3.85410032461135,"Insignificant"
"65","beta-BHC","Avocado",21,0.290957186981323,2.9784126984127,6.55806268980301,6.56451386837154,"Insignificant"
"66","beta-BHC","Carrot",20,0.298142396999972,1.59666666666667,2.95058998956983,2.96561463704214,"Insignificant"
"67","beta-BHC","Onion",20,0.298142396999972,0.987333333333336,2.59274913367558,2.60983466125047,"Insignificant"
"68","beta-BHC","Orange",20,0.298142396999972,1.984,3.60201529036827,3.61433300083649,"Insignificant"
"69","beta-BHC","Spinach",14,0.356348322549899,-2.30666666666666,4.32210458390216,4.33676978420254,"Insignificant"
"70","beta-BHC","Strawberries",20,0.298142396999972,-3.486,3.81825342025468,3.82987572516073,"Insignificant"
"71","beta-Endosulfan","Apple",17,0.323380833381777,-6.80156862745097,6.33281205285077,6.34106329097342,"Insignificant"
"72","beta-Endosulfan","Avocado",19,0.305887645160749,-12.8954385964912,14.339920114906,14.3431822185088,"Insignificant"
"73","beta-Endosulfan","Carrot",19,0.305887645160749,-1.79438596491228,13.1882718685881,13.1918187575199,"Insignificant"
"74","beta-Endosulfan","Onion",19,0.305887645160749,-8.64912280701754,12.3353184009162,12.3391104745619,"Insignificant"
"75","beta-Endosulfan","Orange",21,0.290957186981323,-11.8844444444444,14.8442385880603,14.8470897937581,"Insignificant"
"76","beta-Endosulfan","Spinach",14,0.356348322549899,2.81142857142858,32.3483639849537,32.3503266850589,"Insignificant"
"77","beta-Endosulfan","Strawberries",21,0.290957186981323,-5.28698412698412,21.7175601736056,21.7195091099876,"Insignificant"
"78","Bifenthrin","Apple",18,0.314269680527355,-3.73925925925926,2.65369875194712,2.67224297139771,"Insignificant"
"79","Bifenthrin","Avocado",21,0.290957186981323,-4.11682539682539,7.43212116246398,7.43781426618069,"Insignificant"
"80","Bifenthrin","Carrot",21,0.290957186981323,0.31555555555556,4.76091183298761,4.76979428970868,"Insignificant"
"81","Bifenthrin","Onion",20,0.298142396999972,0.785333333333337,2.81344441453607,2.82919747677201,"Insignificant"
"82","Bifenthrin","Orange",21,0.290957186981323,0.223492063492069,5.49468414582985,5.50238220656199,"Insignificant"
"83","Bifenthrin","Spinach",12,0.384900179459751,2.09333333333334,1.38611877287816,1.43856643943664,"Insignificant"
"84","Bifenthrin","Strawberries",20,0.298142396999972,-0.306666666666662,2.27364868934783,2.29311300451199,"Insignificant"
"85","Bioresmethrin","Apple",19,0.305887645160749,-5.55508771929824,4.13573218448129,4.14702881027084,"Insignificant"
"86","Bioresmethrin","Avocado",21,0.290957186981323,-100,0,0.290957186981323,"Significant"
"87","Bioresmethrin","Carrot",21,0.290957186981323,1.62857142857143,5.47438688311593,5.48211344562367,"Insignificant"
