Compound,Matrix,Repeatability,Reproducibility,Precision,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
2-Phenylphenol (raw),Avocado,0.002602374678683674,0.00679590197644649,0.01359180395289298,0.290957186981323,103.627301587302,7.81573396134345,7.82114783386387,Significant,0.09567515329511897,127.56687106015863
2-Phenylphenol (raw),Carrot,0.0030773202628260844,0.003822375672577588,0.007644751345155176,0.298142396999972,99.9626666666667,4.05714409968564,4.06808396355126,Significant,0.08475352156782798,113.00469542377064
2-Phenylphenol (raw),Onion,0.003976527758720288,0.004881640671563036,0.009763281343126071,0.290957186981323,105.388571428571,6.17163732745106,6.17849199936711,Significant,0.09250295263834138,123.33727018445518
2-Phenylphenol (raw),Orange,0.00402872779162946,0.005122994646655397,0.010245989293310795,0.290957186981323,105.330793650794,6.42782094619958,6.4344027074048,Significant,0.09307409458276088,124.0987927770145
2-Phenylphenol (raw),Spinach,0.002429093991398356,0.00607435341314243,0.01214870682628486,0.356348322549899,103.348571428571,6.33737923592833,6.34738999171783,Significant,0.09294652289869686,123.92869719826247
2-Phenylphenol (raw),Strawberries,0.005555800915216793,NaN,NaN,0.290957186981323,102.827301587302,7.3977239456957,7.40344350024877,Significant,NaN,NaN
2-Phenylphenol (raw) *,Apple,0.006213901849118328,NaN,NaN,0.290957186981323,95.488253968254,8.21390525734985,8.2190568596023,Significant,NaN,NaN
"3,4 Dichloroaniline",Apple,0.010206319470938441,0.01175339571716845,0.0235067914343369,0.290957186981323,-16.831746031746,15.0820160610446,15.0848223241199,Insignificant,0.03262761006839933,43.50348009119911
"3,4 Dichloroaniline",Avocado,0.0028817727678833887,0.014730215533381169,0.029460431066762337,0.290957186981323,-6.14984126984127,16.5664646022617,16.5690194490394,Insignificant,0.03854367536990224,51.39156715986966
"3,4 Dichloroaniline",Carrot,0.0019289005010256887,0.004371602782087338,0.008743205564174676,0.290957186981323,-1.47936507936508,5.07610257525371,5.08443442667456,Insignificant,0.011602131647913252,15.469508863884336
"3,4 Dichloroaniline",Onion,0.0033542562395611495,0.006037286805576576,0.012074573611153152,0.290957186981323,0.761904761904766,7.16652624447147,7.1724301667813,Insignificant,0.016172315094327205,21.563086792436273
"3,4 Dichloroaniline",Orange,0.002794324747349671,0.0032806475426841774,0.006561295085368355,0.290957186981323,2.62349206349207,4.19021697610975,4.20030646400169,Insignificant,0.009096504030573025,12.128672040764034
"3,4 Dichloroaniline",Spinach,0.0035510776365706626,0.0038892548208139363,0.007778509641627873,0.356348322549899,4.7304761904762,4.98263700771705,4.99536341797628,Insignificant,0.010800506354779067,14.400675139705424
"3,4 Dichloroaniline",Strawberries,0.005333502080663738,0.007326636011028201,0.014653272022056402,0.290957186981323,-3.61333333333333,9.05387234526997,9.05854627018599,Insignificant,0.019983673764922633,26.644898353230175
Aldrin,Apple,0.005458560191577938,0.009724561651803533,0.019449123303607065,0.305887645160749,-0.595087719298242,9.0792681605614,9.0844194961949,Insignificant,0.023747703506661753,31.663604675549006
Aldrin,Avocado,0.019789158447581643,0.022685307556027635,0.04537061511205527,0.314269680527355,-0.919999999999997,15.9380769048476,15.9411750149396,Insignificant,0.0512861102304938,68.38148030732508
Aldrin,Carrot,0.007483593695757051,0.008922306106523328,0.017844612213046656,0.298142396999972,2.58733333333334,9.93721621978864,9.94168773839328,Insignificant,0.02325540332871873,31.00720443829164
Aldrin,Onion,0.00559001064825632,NaN,NaN,0.290957186981323,3.42476190476191,7.19528152266999,7.20116186980492,Insignificant,NaN,NaN
Aldrin,Orange,0.008434624501196862,NaN,NaN,0.305887645160749,-1.98947368421052,8.1982938049658,8.20399832788882,Insignificant,NaN,NaN
Aldrin,Spinach,0.008094931983007873,0.009818862314079831,0.019637724628159662,0.356348322549899,7.21904761904762,12.0853825267581,12.0906350100007,Insignificant,0.0267311242224827,35.64149896331027
Aldrin,Strawberries,0.008407500336292706,NaN,NaN,0.290957186981323,-3.13523809523809,11.0845833165522,11.0884012998377,Insignificant,NaN,NaN
alpha-BHC,Apple,0.0034662241017870596,0.004271067591053426,0.008542135182106851,0.290957186981323,-0.847619047619043,5.39527788830784,5.40311757939059,Insignificant,0.011775137048756877,15.700182731675836
alpha-BHC,Avocado,0.0032201427060953454,0.005419567407492388,0.010839134814984776,0.290957186981323,5.55111111111112,6.48704600923455,6.49356774127921,Insignificant,0.014572621351741234,19.43016180232165
alpha-BHC,Carrot,0.0018963276958792574,0.002230847128685567,0.004461694257371134,0.290957186981323,0.744761904761907,2.84799901908312,2.86282281976278,Insignificant,0.006192508640713084,8.256678187617446
alpha-BHC,Onion,0.002609906341444288,0.0027253350290208653,0.005450670058041731,0.314269680527355,-0.38296296296296,2.06869125654058,2.09242656907864,Insignificant,0.006289742777916408,8.386323703888543
alpha-BHC,Orange,0.002168530334010528,0.0022841790975446463,0.004568358195089293,0.305887645160749,2.40631578947369,2.2017607697771,2.22290749667894,Insignificant,0.00565578124673508,7.54104166231344
alpha-BHC,Spinach,0.002211790375841856,0.004276822084545621,0.008553644169091242,0.356348322549899,2.84666666666667,4.6393419810458,4.6530074300476,Insignificant,0.011039855270591389,14.719807027455188
alpha-BHC,Strawberries,0.002624347235542281,NaN,NaN,0.290957186981323,1.08190476190476,3.43674338282117,3.44903771565652,Insignificant,NaN,NaN
alpha-Endosulfan,Apple,0.010899464745850218,0.01277392766110551,0.02554785532221102,0.290957186981323,-24.0565079365079,16.3223505413824,16.3249435919523,Insignificant,0.03538822436836272,47.18429915781696
