Compound,Matrix,Repeatability,Reproducibility
Pyraclostrobin,Avocado,0.004558044954750206,0.009886697463495782
tau-Fluvalinate,Avocado,0.0036775638934593868,0.008619536483110528
Difenoconazole,Avocado,0.003963166122468969,0.00787951522646423
Indoxacarb,Avocado,0.005523197400402191,0.0075093093244726706
Deltamethrin,Avocado,0.005088011352562953,0.012977635511501608
Azoxystrobin,Avocado,0.00726835885714172,0.01648244022328871
Dimethomorph,Avocado,0.005959120261054838,0.015285643524535814
Dichlorvos,Orange,0.0016636482190731888,0.0020693623520828077
Mevinphos,Orange,0.002039215535444945,0.0022545957599570585
"3,4 Dichloroaniline",Orange,0.002794324747349671,0.0032806475426841774
Methacrifos,Orange,0.002615846095176625,0.0027876833090027487
THP,Orange,0.0025957523300057252,0.003305089149435201
2-Phenylphenol (raw),Orange,0.00402872779162946,0.005122994646655397
Diphenylamine,Orange,0.002743312214233354,0.0039295121817338324
Phorate-Oxon,Orange,0.001697757157275255,0.001982493962897537
Ethoprophos,Orange,0.0020790981714073073,0.002912138214369614
Phorate (raw),Orange,0.0022900883742564956,0.0027244757343773286
alpha-BHC,Orange,0.002168530334010528,0.0022841790975446463
Hexachlorobenzene,Orange,0.0028533942472358637,0.0036399225341237386
Dicloran,Orange,0.004029791636663194,NaN
Dimethoate (raw),Orange,0.006142741619437905,0.006624862981512111
Simazine,Orange,0.0035271466502065788,0.004028724330093977
beta-BHC,Orange,0.0028057537255172568,0.0033177293275908548
Quintozene,Orange,0.00551271862756178,NaN
Lindane (gamma-BHC),Orange,0.0026013354323781513,0.002941729904313441
Terbufos (raw),Orange,0.002111200666438003,0.0021712650314355247
Diazinon,Orange,0.0038715291675561697,0.003921608634949995
Pyrimethanil,Orange,0.002802785179407222,0.002917346548552943
Chlorothalonil,Orange,0.014778998344390327,0.015954548772391282
Disulfoton (raw),Orange,0.005870565398259191,0.0062282449674165566
delta-BHC,Orange,0.0055878065946919275,0.0057951425824582185
Pirimicarb (raw),Orange,0.0033551214109983686,NaN
Chlorpyrifos-methyl,Orange,0.003639486489157764,0.0041807061702100815
Metribuzin,Orange,0.003467646610580871,NaN
Vinclozolin,Orange,0.004716310940649364,0.00503759708132176
Parathion-methyl,Orange,0.0030544682336662438,0.0043490135717906215
Tolclofos-methyl,Orange,0.0024357877380350498,NaN
Fipronyl-desulfonyl,Orange,0.003952554127015104,0.004319365111447098
Heptachlor (raw),Orange,0.00296791573490957,0.002998654233299391
Metalaxyl,Orange,0.00418208271953292,0.005020862394417263
Fenthion-oxon,Orange,0.0043053617365489336,0.005305550167987672
Pirimiphos-methyl,Orange,0.007176447036207541,0.008048062639225539
Fenitrothion,Orange,0.0051263536346316954,0.005718997878535526
Linuron (raw),Orange,0.010422024983749792,0.013924080619144501
Malathion,Orange,0.0032047670345957693,0.003932228860267907
"o,p-Dicofol",Orange,0.002921051398014296,0.0037714522906902035
Chlorpyrifos,Orange,0.004042714002738318,0.0054253589492208815
Aldrin,Orange,0.008434624501196862,NaN
Fenthion (raw),Orange,0.003406846048767101,NaN
Chlorthal-dimethyl,Orange,0.00408720807413445,NaN
Phorate-sulfoxide,Orange,0.002745698222703786,0.003573008983654938
Parathion (ethyl),Orange,0.0026815231989797657,0.004247467032300099
Triadimefon,Orange,0.003630921436245967,0.0036530597556338022
Phorate-sulfone,Orange,0.0031089622113731202,0.00343104573416502
Dicofol (raw),Orange,0.00234160235464982,0.0026249583087068267
Pendimethalin,Orange,0.005733882310372817,0.005961364554104938
Cyprodinil,Orange,0.0028276486389572563,0.002902984741290121
Fipronil-sulfide,Orange,0.0037215242652900798,NaN
Fipronil (raw),Orange,0.004517140196579637,0.00779784934592665
Heptachlor-exo-epoxide,Orange,0.007693949488407022,NaN
Heptachlor-endo-epoxide,Orange,0.019831870214139565,0.021891907615546415
Captan (raw),Orange,0.0061594404780630115,0.006423334377393841
Procymidone,Orange,0.003569022586398443,0.003900552987134283
Trifloxystrobin Metabolite,Orange,0.0122217264257304,0.018708949493663793
Bromophos-ethyl,Orange,0.004848243340846614,NaN
Methidathion,Orange,0.006274650183128535,0.007016078764130989
Chlordane-trans,Orange,0.004866806097154641,0.005533178405338667
Paclobutrazol,Orange,0.0045155078464233795,0.0055258629393507225
Chlordane-cis,Orange,0.00705316229876347,NaN
alpha-Endosulfan,Orange,0.016550553340387623,NaN
Fenamiphos (raw),Orange,0.005754576646544242,0.005976095635749065
Hexaconazole,Orange,0.008214083530983142,NaN
Prothiofos,Orange,0.004957973216214304,0.005146444714293441
Fludioxonil,Orange,0.004338142752340288,0.004893686686717402
"p,p'-DDE",Orange,0.00494265946021801,0.005014343440177835
Fipronil-sulfone,Orange,0.003904586436243306,0.004162149660442105
Dieldrin (raw),Orange,0.008716358730789455,0.010920513026497644
Flusilazole,Orange,0.004619879061153282,0.004784855573279391
Oxyfluorfen,Orange,0.005591789758066075,NaN
Buprofezin,Orange,0.006457548923178063,0.007003004942972165
Kresoxim-methyl,Orange,0.004466009546546145,0.0045758654064217315
Fenthion-oxon-sulfone,Orange,0.014485301088311822,0.017673934880203107
Chlorfenapyr,Orange,0.010087654564028976,0.010788676004587994
Cyproconazole,Orange,0.0034823277199606544,NaN
Endrin,Orange,0.011632573109284864,NaN
beta-Endosulfan,Orange,0.011353676000756706,NaN
"p,p'-DDD",Orange,0.003189469777301148,0.003988044804229784
"o,p'-DDT",Orange,0.004544499029438935,0.0053198394559173185
Benalaxyl,Orange,0.00467878240164092,0.005046594797248839
Trifloxystrobin (raw),Orange,0.004164456556706819,0.004762609400246856
Endosulfan sulfate,Orange,0.013646680159111213,0.020529854600848323
Propiconazole,Orange,0.00442881868229384,NaN
"p,p'-DDT",Orange,0.004196564354439523,0.004372548953841629
Tebuconazole,Orange,0.00397678421572163,0.004219187383474541
Piperonyl butoxide,Orange,0.004159327631866277,0.006342016836229656
Bioresmethrin,Orange,0.005083885215943504,0.005156960358200796
Iprodione,Orange,0.023880119844957307,0.03194966661169783
Phosmet,Orange,0.01062695151079078,0.013828380926472162
Bifenthrin,Orange,0.00408561160932145,0.0041360924245255545
Fenoxycarb,Orange,0.0037804041524095743,0.004071811343744651
Tebufenpyrad,Orange,0.004122679241341021,0.004295100990315228
Tetradifon,Orange,0.004732135831081932,0.005623782770792375
Phenothrin,Orange,0.007842918654166513,0.012503245265804826
Azinphos-methyl,Orange,0.009938315624909357,0.0132251326652554
Pyriproxyfen,Orange,0.005363803140215358,0.0053826004008127835
Cyhalothrin,Orange,0.004626924310103693,0.00488547416563932
Fenarimol,Orange,0.003782377055566532,NaN
Azinphos-ethyl,Orange,0.005255885891829894,0.006459817608680217
Bitertanol,Orange,0.0038504640000749254,NaN
Permethrin,Orange,0.005208490473819942,0.0056429517171098275
Cyfluthrin,Orange,0.0037501326960649333,0.003979170853365323
Cypermethrin,Orange,0.004423468796145871,0.00501747849783041
Boscalid,Orange,0.004540833431647572,NaN
Fenvalerate,Orange,0.005565333316220599,0.0070075607855562255
Pyraclostrobin,Orange,0.004653075787660713,0.005696153075887771
tau-Fluvalinate,Orange,0.005786981009675886,0.005976790996198969
Difenoconazole,Orange,0.003565458852012853,0.0035684484709458688
Indoxacarb,Orange,0.0071721698693575815,NaN
Deltamethrin,Orange,0.004267136506868978,NaN
Azoxystrobin,Orange,0.004786435032198842,0.005077894804567983
Dimethomorph,Orange,0.004386465294263454,0.0047871616148330125
Dichlorvos,Strawberries,0.0015086991137642455,0.0017591243183319775
Mevinphos,Strawberries,0.002346171146276211,0.0028972812731093626
"3,4 Dichloroaniline",Strawberries,0.005333502080663738,0.007326636011028201
Methacrifos,Strawberries,0.0024563642638715834,NaN
THP,Strawberries,0.003610925880475208,0.004391967854237208
2-Phenylphenol (raw),Strawberries,0.005555800915216793,NaN
Diphenylamine,Strawberries,0.0040684016595577245,0.004636710436664057
Phorate-Oxon,Strawberries,0.0020750176897314414,0.0023220362574586035
Ethoprophos,Strawberries,0.0029602635554052165,0.0030026001203945236
Phorate (raw),Strawberries,0.002356379722545877,0.002811571933046333
alpha-BHC,Strawberries,0.002624347235542281,NaN
Hexachlorobenzene,Strawberries,0.003321810082202506,NaN
Dicloran,Strawberries,0.00689588570689362,0.007029804334374598
Dimethoate (raw),Strawberries,0.002995596238713893,0.004733391371685951
Simazine,Strawberries,0.003586618206434884,NaN
beta-BHC,Strawberries,0.0033636030379379477,NaN
Quintozene,Strawberries,0.0035774048410580263,0.004361906763359906
Lindane (gamma-BHC),Strawberries,0.0038250525465837707,0.004103244526744474
Terbufos (raw),Strawberries,0.0025096123143334256,0.002517400262499522
Diazinon,Strawberries,0.004057676440432142,NaN
Pyrimethanil,Strawberries,0.0031305364923857226,NaN
Chlorothalonil,Strawberries,0.010204611391463845,0.010238793409195758
Disulfoton (raw),Strawberries,0.004859097832523206,NaN
delta-BHC,Strawberries,0.004573754319093731,0.005148920301588365
Pirimicarb (raw),Strawberries,0.003086769513868184,NaN
Chlorpyrifos-methyl,Strawberries,0.0035230488239411367,0.004787505208608025
Metribuzin,Strawberries,0.007729207129915906,NaN
Vinclozolin,Strawberries,0.004110288871013158,0.004134932486349287
Parathion-methyl,Strawberries,0.002981100254966063,0.005777906018548908
Tolclofos-methyl,Strawberries,0.0031890885397376,0.0032026363502334625
Fipronyl-desulfonyl,Strawberries,0.0027752288622914056,0.003784811842122686
Heptachlor (raw),Strawberries,0.0033881464708504718,0.004138672188394872
Metalaxyl,Strawberries,0.005199557215580495,0.0066752920902231555
Fenthion-oxon,Strawberries,0.0035559286510598886,0.004540819024687727
Pirimiphos-methyl,Strawberries,0.007148768680744513,NaN
Fenitrothion,Strawberries,0.004986087469546466,NaN
Linuron (raw),Strawberries,0.008260514031432431,0.01026741507122888
Malathion,Strawberries,0.0028408362842041405,0.0033873985161895236
"o,p-Dicofol",Strawberries,0.002306602325004094,0.0030922434231080735
Chlorpyrifos,Strawberries,0.0032018295860980345,0.004768121965179785
Aldrin,Strawberries,0.008407500336292706,NaN
Fenthion (raw),Strawberries,0.003701340812398102,0.0037956872232309475
Chlorthal-dimethyl,Strawberries,0.003822617527546379,0.003960076529872749
Phorate-sulfoxide,Strawberries,0.0018732507183952271,0.0023342943113439647
Parathion (ethyl),Strawberries,0.0040148782819716495,0.006236951494566737
Triadimefon,Strawberries,0.004375978257976806,0.005093598089425454
Phorate-sulfone,Strawberries,0.004098864728615966,0.004950709699690767
Dicofol (raw),Strawberries,0.0048114516174088936,NaN
Pendimethalin,Strawberries,0.00487700467532835,0.006237135713190939
Cyprodinil,Strawberries,0.004076346013943961,NaN
Fipronil-sulfide,Strawberries,0.002640497187429937,0.0026874856114153696
Fipronil (raw),Strawberries,0.004945835509687816,0.007191327921803566
Heptachlor-exo-epoxide,Strawberries,0.00793589134430225,0.008269322250111582
Heptachlor-endo-epoxide,Strawberries,0.041770808786360206,NaN
Captan (raw),Strawberries,0.008595857252465394,0.01223691348750494
Procymidone,Strawberries,0.003756562300489679,0.004538270295929008
Trifloxystrobin Metabolite,Strawberries,0.004548109846365105,0.015554616328140217
Bromophos-ethyl,Strawberries,0.005658184968950481,0.006695241126464123
Methidathion,Strawberries,0.0037290766549392235,0.004462272155428849
Chlordane-trans,Strawberries,0.007311910700715519,0.008610772678595634
Paclobutrazol,Strawberries,0.004639317136396639,0.004843646164127322
Chlordane-cis,Strawberries,0.005150190010364387,0.005583692789728676
alpha-Endosulfan,Strawberries,0.011677466429933425,NaN
Fenamiphos (raw),Strawberries,0.007320122082423716,NaN
Hexaconazole,Strawberries,0.007451692467816997,NaN
Prothiofos,Strawberries,0.005031749514294525,0.005056254293742871
Fludioxonil,Strawberries,0.005209454469809277,0.006971177395943549
"p,p'-DDE",Strawberries,0.004049256055521128,0.004614777358446146
Fipronil-sulfone,Strawberries,0.003908131734063429,NaN
Dieldrin (raw),Strawberries,0.010037316643248103,0.010126595515507361
Flusilazole,Strawberries,0.004458268579859083,0.005822859771484054
Oxyfluorfen,Strawberries,0.00565128247841087,NaN
Buprofezin,Strawberries,0.005128690541129053,0.0054542524756401945
Kresoxim-methyl,Strawberries,0.0032250852086688512,0.003730457833330715
Fenthion-oxon-sulfone,Strawberries,0.0265111762595828,0.03147543643286707
Chlorfenapyr,Strawberries,0.008517884639401894,NaN
Cyproconazole,Strawberries,0.0030171149364388683,0.004039629453606976
Endrin,Strawberries,0.008793880899229944,0.009075975276017688
beta-Endosulfan,Strawberries,0.014969250492842328,0.016821794880249763
"p,p'-DDD",Strawberries,0.0038393185159174624,NaN
"o,p'-DDT",Strawberries,0.003791548035820791,NaN
Benalaxyl,Strawberries,0.003420029239641087,NaN
Trifloxystrobin (raw),Strawberries,0.007078502890767447,NaN
Endosulfan sulfate,Strawberries,0.009020964735653543,0.010128425581594842
Propiconazole,Strawberries,0.003439792121810538,0.003970342263215456
"p,p'-DDT",Strawberries,0.004025457875957854,NaN
Tebuconazole,Strawberries,0.0031016636600891194,0.004547399645667284
Piperonyl butoxide,Strawberries,0.0031916826432523155,NaN
Bioresmethrin,Strawberries,0.01260722009059486,0.019025400171893376
Iprodione,Strawberries,0.013759018860369369,0.020413478857059585
Phosmet,Strawberries,0.006502210002809421,0.010328604129566885
Bifenthrin,Strawberries,0.0024457501202685547,NaN
Fenoxycarb,Strawberries,0.005901556157435519,0.005931763225718505
Tebufenpyrad,Strawberries,0.003178664739133317,0.003771981651364609
Tetradifon,Strawberries,0.005478223990969894,NaN
Phenothrin,Strawberries,0.003519593455960233,0.003594116223575892
Azinphos-methyl,Strawberries,0.007763837109745836,0.01262818651104833
Pyriproxyfen,Strawberries,0.004046419738288737,NaN
Cyhalothrin,Strawberries,0.002683488312590447,NaN
Fenarimol,Strawberries,0.0035459713335576617,0.004314707563734096
Azinphos-ethyl,Strawberries,0.004536642349747647,0.007245231366286403
Bitertanol,Strawberries,0.0029831372641076935,NaN
Permethrin,Strawberries,0.003258519237176242,0.0037941975929239214
Cyfluthrin,Strawberries,0.003742925814225236,0.003884514082850513
Cypermethrin,Strawberries,0.003787177405194097,0.004357335749048033
Boscalid,Strawberries,0.004139124591136679,NaN
Fenvalerate,Strawberries,0.0059739446168937844,NaN
Pyraclostrobin,Strawberries,0.00550358800714416,0.009277592748708272
tau-Fluvalinate,Strawberries,0.004015465143350186,0.005034929895005394
Difenoconazole,Strawberries,0.0030351454555767048,NaN
Indoxacarb,Strawberries,0.005829501462525531,0.006401923658605452
Deltamethrin,Strawberries,0.003558012866131256,0.00489698275839873
Azoxystrobin,Strawberries,0.005027448941276568,0.006936860775232986
Dimethomorph,Strawberries,0.00332859711142077,0.0037939328579473016
