Compound,Matrix,n,Repeatability,Reproducibility,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
Azoxystrobin,Apple,18,0.0017840727439080383,0.0017840727439080383,0.314269680527355,0.567407407407412,2.35845622365482,2.37930266905976,Insignificant,0.005046691480758533,6.72892197434471
Azoxystrobin,Avocado,21,0.008148919102536394,0.020915070779566718,0.290957186981323,-17.4139682539683,24.0787446982476,24.0805025347903,Insignificant,0.055267256111509976,73.68967481534663
Azoxystrobin,Carrot,21,0.004636096127302292,0.016451769273999016,0.290957186981323,15.791746031746,18.6624049783708,18.6646729320761,Insignificant,0.04320272426847275,57.60363235796367
Azoxystrobin,Onion,21,0.0022082051175716984,0.002523464711395794,0.290957186981323,2.73142857142858,3.24423943688032,3.25726044529227,Insignificant,0.0070244874701067715,9.365983293475695
Azoxystrobin,Orange,21,0.004786435032198842,0.005077894804567983,0.290957186981323,-6.73460317460317,6.65632518538157,6.66268122141537,Insignificant,0.014248527466583567,18.998036622111425
Azoxystrobin,Strawberries,21,0.005027448941276568,0.006936860775232986,0.290957186981323,-0.629841269841268,8.56521119128552,8.57015162269483,Insignificant,0.0189139372432293,25.2185829909724
Benalaxyl,Apple,21,0.0031840555151896356,0.004041910792823475,0.290957186981323,-2.43809523809524,5.07322257560097,5.08155914914344,Insignificant,0.011110725406003842,14.814300541338454
Benalaxyl,Avocado,21,0.005359123654965085,0.005898208825307798,0.290957186981323,-7.8431746031746,7.65573354321165,7.66126048175574,Insignificant,0.016468728602072095,21.958304802762797
Benalaxyl,Carrot,21,0.0028425687019660324,0.0036855481690139993,0.290957186981323,0.271746031746037,4.60576349311353,4.61494457595684,Insignificant,0.010112018416843645,13.482691222458193
Benalaxyl,Onion,20,0.00275389889132507,0.0032473611603812073,0.298142396999972,0.706000000000005,4.14452920597518,4.15523900974061,Insignificant,0.009001663362232966,12.00221781631062
Benalaxyl,Orange,21,0.00467878240164092,0.005046594797248839,0.290957186981323,2.72507936507937,6.58550391382025,6.59192823713956,Insignificant,0.014129504288140167,18.839339050853557
Benalaxyl,Strawberries,20,0.0020780759995592023,0.0026741337026266665,0.298142396999972,-0.714666666666662,3.34828198942409,3.36152958779045,Insignificant,0.007350421543671774,9.800562058229032
beta-BHC,Apple,21,0.002034038129217617,0.003177288344562044,0.290957186981323,-1.02920634920635,3.8431020318895,3.85410032461135,Insignificant,0.008590829171293083,11.454438895057445
beta-BHC,Avocado,21,0.0041742059410258105,0.005205067062896654,0.290957186981323,2.9784126984127,6.55806268980301,6.56451386837154,Insignificant,0.014329333123181328,19.105777497575104
