Compound,Matrix,A,B,C,D,E,F,G,SD,LOD,LOR
Aldrin,Apple,0.01169,0.00897,0.01188,0.0106,0.00734,0.00648,0.00897,0.002080540222886263,0.006241620668658789,0.02080540222886263
Fenthion (raw),Apple,0.01127,0.01078,0.01052,0.01189,0.01199,0.01065,0.01147,5.937411653478067e-4,0.00178122349604342,0.005937411653478067
Chlorthal-dimethyl,Apple,0.01064,0.00897,0.01245,0.0107,0.00886,0.00873,0.00983,0.001347823642554385,0.004043470927663155,0.013478236425543851
Phorate-sulfoxide,Apple,0.01113,0.00988,0.01057,0.01035,0.0106,0.01071,0.01222,7.385120175054703e-4,0.0022155360525164106,0.007385120175054703
Parathion (ethyl),Apple,0.01166,0.01091,0.01301,0.01102,0.0135,0.01122,0.01111,0.0010474231418558778,0.0031422694255676333,0.010474231418558778
Triadimefon,Apple,0.014880000000000001,0.01186,0.01265,0.01158,0.01228,0.01128,0.01284,0.0011967237020497337,0.003590171106149201,0.011967237020497337
Phorate-sulfone,Apple,0.01297,0.01033,0.00992,0.01121,0.01116,0.01113,0.01112,9.571137166850483e-4,0.002871341150055145,0.009571137166850483
Dicofol (raw),Apple,0.01268,0.01005,0.01068,0.01105,0.01122,0.01078,0.01133,8.110017321336679e-4,0.0024330051964010038,0.00811001732133668
Pendimethalin,Apple,0.01178,0.01165,0.01183,0.01082,0.00961,0.01168,0.01141,8.023061997113309e-4,0.002406918599133993,0.00802306199711331
Cyprodinil,Apple,0.01383,0.0117,0.01212,0.01078,0.01189,0.01098,0.01313,0.0010988392143747052,0.0032965176431241153,0.010988392143747052
Fipronil-sulfide,Apple,0.01105,0.00984,0.0112,0.01044,0.01056,0.00944,0.01029,6.240917209757522e-4,0.0018722751629272566,0.0062409172097575225
Fipronil (raw),Apple,0.01,0.01093,0.00997,0.00918,0.01222,0.00957,0.0128,0.0013769496999493033,0.00413084909984791,0.013769496999493033
Heptachlor-exo-epoxide,Apple,0.00845,0.01045,0.01,0.0094,0.00951,0.01149,0.01201,0.0012396332022781887,0.0037188996068345664,0.012396332022781887
Heptachlor-endo-epoxide,Apple,0.05076,4.6e-4,NA,0.00558,0.00525,0.00669,0.01465,0.018632684633907878,0.05589805390172363,0.18632684633907878
Captan (raw),Apple,0.02131,0.01492,0.01323,0.01216,0.01653,0.01595,0.01514,0.0029358636272986583,0.008807590881895975,0.02935863627298658
Procymidone,Apple,0.01017,0.00824,0.00909,0.00794,0.00923,0.00868,0.00907,7.291939450679839e-4,0.0021875818352039516,0.007291939450679839
Trifloxystrobin Metabolite,Apple,0.01075,0.0097,0.01193,0.01363,0.01151,0.01347,0.01099,0.0014348336555321034,0.00430450096659631,0.014348336555321034
Bromophos-ethyl,Apple,0.00998,0.01016,0.00921,0.01045,0.0096,0.00965,0.01005,4.1269151398385425e-4,0.0012380745419515627,0.004126915139838543
Methidathion,Apple,0.01135,0.01161,0.01212,0.01167,0.01179,0.01118,0.01157,3.028043529912939e-4,9.084130589738817e-4,0.0030280435299129393
Chlordane-trans,Apple,0.00929,0.00576,0.00842,0.00699,0.00452,0.00347,0.00476,0.002146234798320959,0.0064387043949628775,0.02146234798320959
Paclobutrazol,Apple,0.01145,0.00918,0.00999,0.01016,0.01073,0.00975,0.0099,7.318664983646752e-4,0.0021955994950940256,0.0073186649836467525
Chlordane-cis,Apple,0.00913,0.00861,0.0061,0.00791,0.00678,0.00865,0.00835,0.0011006772806733478,0.0033020318420200435,0.011006772806733478
alpha-Endosulfan,Apple,0.00663,0.00508,0.00128,0.00609,0.00316,2.7e-4,3e-5,0.0027679836223022227,0.008303950866906669,0.027679836223022225
Fenamiphos (raw),Apple,0.01148,0.01061,0.0117,0.01223,0.01013,0.01045,0.01416,0.0013790541962484567,0.00413716258874537,0.013790541962484568
Hexaconazole,Apple,0.01171,0.01151,0.00902,0.01079,0.01326,0.0073,0.01389,0.0023038187759415784,0.006911456327824735,0.023038187759415782
Prothiofos,Apple,0.01095,0.00734,0.00881,0.00751,0.00965,0.00661,0.00949,0.0015380367820234803,0.004614110346070441,0.015380367820234803
Fludioxonil,Apple,0.01081,0.00692,0.00914,0.0095,0.00839,0.00613,0.007,0.0016708680378773185,0.005012604113631956,0.016708680378773186
"p,p'-DDE",Apple,0.01052,0.00916,0.00969,0.00855,0.00947,0.00913,0.01108,8.713918805702801e-4,0.0026141756417108405,0.0087139188057028
Fipronil-sulfone,Apple,0.00911,0.00741,0.01065,0.00794,0.00935,0.00985,0.00911,0.001096828762083368,0.003290486286250104,0.01096828762083368
Dieldrin (raw),Apple,0.00347,0.00497,0.00694,0.00314,0.00655,0.00892,0.00663,0.002060693364588032,0.006182080093764095,0.02060693364588032
