Compound,Matrix,A,B,C,D,E,F,G,SD,LOD,LOR
Fenthion (raw),Spinach,0.00788,0.00915,0.01043,0.0092,0.0067,0.00758,0.00799,0.0012464540180237773,0.003739362054071332,0.012464540180237772
Chlorthal-dimethyl,Spinach,0.01053,0.00122,0.00944,0.01036,0.00892,0.0012,0.01167,0.004463873504778856,0.013391620514336568,0.044638735047788564
Phorate-sulfoxide,Spinach,0.0026,0.00946,0.00993,0.00928,0.00983,0.00921,0.0089,0.002607869044331205,0.007823607132993616,0.02607869044331205
Parathion (ethyl),Spinach,0.00887,0.00834,0.00719,0.00784,0.00786,0.00766,0.00805,5.302110990198236e-4,0.001590633297059471,0.005302110990198236
Triadimefon,Spinach,0.01181,0.01184,0.01185,0.01249,0.01056,0.01089,0.01232,7.089428749906438e-4,0.0021268286249719313,0.007089428749906438
Phorate-sulfone,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicofol (raw),Spinach,0.00927,0.00829,0.00957,0.00904,0.00774,0.00806,0.00887,6.739294862082772e-4,0.0020217884586248317,0.006739294862082771
Pendimethalin,Spinach,0.00839,0.00805,0.01046,0.00476,0.00661,0.00753,0.00606,0.001833570547424056,0.005500711642272168,0.01833570547424056
Cyprodinil,Spinach,0.01016,0.00678,0.00443,0.01087,0.00836,0.00561,0.0063,0.0023849348598471796,0.007154804579541539,0.023849348598471796
Fipronil-sulfide,Spinach,0.00974,0.00839,0.00902,0.00844,0.01008,0.00809,0.00893,7.325038598955674e-4,0.0021975115796867024,0.007325038598955674
Fipronil (raw),Spinach,0.01062,0.00906,0.00808,0.00978,0.01083,0.00823,0.00899,0.001085234229709574,0.003255702689128722,0.010852342297095741
Heptachlor-exo-epoxide,Spinach,0.00257,0.00287,0.00617,0.01004,0.00347,0.00352,0.00496,0.0026288527282194163,0.007886558184658249,0.026288527282194163
Heptachlor-endo-epoxide,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Captan (raw),Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procymidone,Spinach,0.00593,0.00558,0.00508,0.00775,0.00943,0.00988,0.00745,0.0018789181284274556,0.005636754385282367,0.018789181284274557
Trifloxystrobin Metabolite,Spinach,0.00664,0.00315,0.00732,0.00473,0.00796,0.0088,0.0099,0.0023360681252297174,0.007008204375689152,0.023360681252297174
Bromophos-ethyl,Spinach,0.00529,0.00964,0.00507,0.00814,0.00804,0.00963,0.00829,0.0018648094502426475,0.005594428350727943,0.018648094502426476
Methidathion,Spinach,0.00588,0.00622,0.00535,0.00573,0.00481,0.00404,0.00398,8.916811302787773e-4,0.002675043390836332,0.008916811302787772
Chlordane-trans,Spinach,0.00436,0.00344,0.00678,0.00955,0.00785,0.00545,0.00666,0.002081293096221902,0.006243879288665707,0.02081293096221902
Paclobutrazol,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlordane-cis,Spinach,0.00707,0.00956,0.01235,0.00987,0.01303,0.01202,0.00964,0.0020784036914810134,0.00623521107444304,0.020784036914810136
alpha-Endosulfan,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fenamiphos (raw),Spinach,NA,0.00862,0.00944,0.00569,0.00336,0.00742,0.00538,0.002263470049871804,0.006790410149615411,0.02263470049871804
Hexaconazole,Spinach,0.0114,0.01628,0.0138,0.01447,0.02419,0.01734,0.01561,0.00402644117943235,0.012079323538297049,0.040264411794323496
Prothiofos,Spinach,0.00782,0.00695,0.01469,0.01122,0.00794,0.00941,0.0112,0.0026921614612302387,0.008076484383690716,0.026921614612302386
Fludioxonil,Spinach,0.00949,0.00954,0.00851,0.00774,0.01027,0.00966,0.00925,8.332552344355752e-4,0.0024997657033067255,0.008332552344355752
"p,p'-DDE",Spinach,0.00746,0.00774,0.00963,0.00852,0.01224,0.01186,0.01035,0.0019059018612619866,0.00571770558378596,0.019059018612619865
Fipronil-sulfone,Spinach,0.0093,0.00572,0.00687,0.0059,0.00772,0.00662,0.00496,0.001440980155839701,0.004322940467519103,0.01440980155839701
Dieldrin (raw),Spinach,0.00682,0.00565,0.0062,0.01098,0.00764,0.00114,0.01516,0.004409466548018619,0.013228399644055857,0.04409466548018619
Flusilazole,Spinach,0.00771,0.00734,0.00831,0.0088,0.00862,0.0115,0.00911,0.0013522820218677266,0.00405684606560318,0.013522820218677265
Oxyfluorfen,Spinach,0.0103,0.00718,0.00321,0.00602,0.01109,0.00228,0.00675,0.0032823568767985398,0.009847070630395619,0.032823568767985395
Buprofezin,Spinach,0.01082,0.01084,0.01007,0.00876,0.01059,0.00922,0.01063,8.316993504408967e-4,0.00249509805132269,0.008316993504408966
Kresoxim-methyl,Spinach,0.00786,0.00699,0.00885,0.00859,0.0137,0.00994,0.00927,0.0021558204713662743,0.006467461414098823,0.021558204713662744
Fenthion-oxon-sulfone,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorfenapyr,Spinach,0.00678,0.01276,0.00436,0.00953,0.01409,0.01024,0.00453,0.0038347334917019924,0.011504200475105978,0.03834733491701992
Cyproconazole,Spinach,0.00779,0.01172,0.01214,0.01134,0.00857,0.00679,0.01027,0.002096327855129172,0.006288983565387516,0.020963278551291722
Endrin,Spinach,0.00776,0.00531,0.00407,0.00714,0.01018,0.00718,0.01229,0.0027897123934368644,0.008369137180310593,0.027897123934368644
beta-Endosulfan,Spinach,0.00139,0.00733,NA,0.01633,0.00819,0.00849,0.00386,0.005098581828966431,0.015295745486899291,0.05098581828966431
"p,p'-DDD",Spinach,0.01057,0.00848,0.0091,0.00912,0.01062,0.01148,0.01012,0.0010623670785203246,0.003187101235560974,0.010623670785203246
"o,p'-DDT",Spinach,0.00916,0.00835,0.00904,0.00873,0.00936,0.00918,0.00913,3.418437404094785e-4,0.0010255312212284354,0.0034184374040947853
Benalaxyl,Spinach,0.00142,0.00315,0.00582,5.2e-4,0.0062,0.00761,0.0024,0.002680894484700067,0.0080426834541002,0.026808944847000672
Trifloxystrobin (raw),Spinach,0.00675,0.00724,0.00482,0.00707,0.0071,0.00575,0.01146,0.0020872310205948294,0.006261693061784488,0.020872310205948295
Endosulfan sulfate,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Propiconazole,Spinach,0.00816,0.00788,0.00747,0.007,0.0097,0.01037,0.01093,0.0015316408879119836,0.004594922663735951,0.015316408879119836
"p,p'-DDT",Spinach,0.0097,0.00891,0.00917,0.00907,0.00867,0.00882,0.00837,4.1993763709343666e-4,0.00125981291128031,0.004199376370934367
Tebuconazole,Spinach,0.00634,0.01072,0.00888,0.00756,0.00746,0.0085,0.00992,0.0015120594596522354,0.004536178378956706,0.015120594596522353
Piperonyl butoxide,Spinach,0.00854,0.00803,0.01038,0.00867,0.00913,0.00856,0.00867,7.457179346745242e-4,0.0022371538040235725,0.007457179346745242
Bioresmethrin,Spinach,0.00641,0.00329,0.00779,0.00704,0.00269,0.01169,0.00679,0.002994397148962423,0.008983191446887268,0.02994397148962423
Iprodione,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phosmet,Spinach,0.00534,0.00623,0.00505,0.00366,0.00259,NA,NA,0.0014428548090504466,0.0043285644271513395,0.014428548090504466
Bifenthrin,Spinach,0.00985,0.00938,0.01037,0.00904,0.01023,0.01083,0.01013,6.082723387556254e-4,0.0018248170162668761,0.006082723387556254
Fenoxycarb,Spinach,0.01026,0.00951,0.01115,0.00928,0.00869,0.01018,0.01212,0.0011682750817622824,0.003504825245286847,0.011682750817622824
Tebufenpyrad,Spinach,0.01156,0.00959,0.01062,0.00897,0.01042,0.01326,0.01039,0.0013963012364304282,0.0041889037092912845,0.013963012364304282
Tetradifon,Spinach,0.0077,0.00388,0.00468,0.0055,0.00297,0.0092,0.00525,0.002168876162791184,0.006506628488373552,0.021688761627911838
Phenothrin,Spinach,0.012070000000000001,0.01218,0.01491,0.00889,0.01047,0.01532,0.00999,0.0024350486452557585,0.007305145935767275,0.024350486452557586
Azinphos-methyl,Spinach,0.00504,0.0093,0.00407,0.00496,NA,0.00345,0.00311,0.002250861316622298,0.006752583949866895,0.02250861316622298
Pyriproxyfen,Spinach,0.01028,0.01215,0.0082,0.00841,0.01135,0.01143,0.00815,0.001720405544659525,0.005161216633978575,0.01720405544659525
Cyhalothrin,Spinach,0.00681,0.00768,0.00656,0.00549,0.00563,0.00671,0.00589,7.75582730228421e-4,0.0023267481906852627,0.00775582730228421
