"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"55","Boscalid","Spinach",21,0.290957186981323,0.117638273163122,7.53771642788086,7.54332983713433,"Insignificant"
"56","Boscalid","Strawberry",21,0.290957186981323,-3.12661210589693,6.03885565559506,6.04586087449658,"Insignificant"
"57","Buprofezin","Apple",21,0.290957186981323,1.36473510386874,6.34921375949885,6.35587692206714,"Insignificant"
"58","Buprofezin","Avocado",21,0.290957186981323,4.02270516530489,3.11828978339136,3.13183448762207,"Insignificant"
"59","Buprofezin","Carrot",21,0.290957186981323,2.00469546525864,4.70412846948809,4.71311794273222,"Insignificant"
"60","Buprofezin","Onion",21,0.290957186981323,-0.682596817954364,4.65721035237429,4.66629021289057,"Insignificant"
"61","Buprofezin","Orange",21,0.290957186981323,4.52265047731611,4.67517314210385,4.68421818378535,"Insignificant"
"62","Buprofezin","Spinach",21,0.290957186981323,0.0488527130839777,3.79767059654457,3.8088000793577,"Insignificant"
"63","Buprofezin","Strawberry",13,0.369800130816819,-0.969938269335249,1.87058538732315,1.90678835428031,"Insignificant"
"64","Carbaryl","Apple",19,0.305887645160749,0.865957124563437,3.65524317236595,3.66801988824896,"Insignificant"
"65","Carbaryl","Avocado",21,0.290957186981323,4.52509117168907,2.86426828326695,2.87900831592844,"Insignificant"
"66","Carbaryl","Carrot",20,0.298142396999972,-0.222873785222749,4.94787835483512,4.9568527417238,"Insignificant"
"67","Carbaryl","Onion",21,0.290957186981323,-1.82744537548248,4.5904347029447,4.59964638278369,"Insignificant"
"68","Carbaryl","Orange",16,0.333333333333333,-0.411299676279854,2.65754218136807,2.67836546364787,"Insignificant"
"69","Carbaryl","Spinach",21,0.290957186981323,-0.603378245754671,3.24807564467104,3.26108133571693,"Insignificant"
"70","Carbaryl","Strawberry",21,0.290957186981323,-1.78881558545857,4.49006350560793,4.49948067770585,"Insignificant"
"71","Carbendazim","Apple",21,0.290957186981323,-2.74849895285771,6.84429874334054,6.85048037532763,"Insignificant"
"72","Carbendazim","Avocado",16,0.333333333333333,2.42763587028683,3.94892431558272,3.96296787285887,"Insignificant"
"73","Carbendazim","Carrot",21,0.290957186981323,-0.471483001507412,8.90263982631157,8.90739310694689,"Insignificant"
"74","Carbendazim","Onion",21,0.290957186981323,1.2478575924677,7.4846767042545,7.49032986268737,"Insignificant"
"75","Carbendazim","Orange",21,0.290957186981323,1.3974654124291,5.56439921257221,5.57200095850049,"Insignificant"
"76","Carbendazim","Spinach",21,0.290957186981323,1.29957839139684,4.61027156538868,4.61944368850704,"Insignificant"
"77","Carbendazim","Strawberry",21,0.290957186981323,2.0206660190451,6.07214998190324,6.07911683449032,"Insignificant"
"78","Chlorantraniliprole","Apple",21,0.290957186981323,-0.321758490569705,7.62482705715748,7.63037638234293,"Insignificant"
"79","Chlorantraniliprole","Avocado",20,0.298142396999972,6.00789453902435,7.55428077777858,7.56016183414111,"Insignificant"
"80","Chlorantraniliprole","Carrot",21,0.290957186981323,0.300200407264047,8.37097881580492,8.37603381197275,"Insignificant"
"81","Chlorantraniliprole","Onion",21,0.290957186981323,3.10082184635106,9.60921503426604,9.6136189678716,"Insignificant"
"82","Chlorantraniliprole","Orange",21,0.290957186981323,-0.112020368451825,11.6083222528311,11.6119680334657,"Insignificant"
"83","Chlorantraniliprole","Spinach",21,0.290957186981323,1.28135960403827,3.78375242876995,3.79492273002739,"Insignificant"
"84","Chlorantraniliprole","Strawberry",21,0.290957186981323,-0.282786870564728,8.12786529782526,8.13307139918543,"Insignificant"
"85","Chlorpyrifos","Apple",21,0.290957186981323,0.763624136793285,5.61254790479161,5.62008452500822,"Insignificant"
"86","Chlorpyrifos","Avocado",18,0.314269680527355,1.83854173641935,2.91252410289106,2.92943033404452,"Insignificant"
"87","Chlorpyrifos","Carrot",21,0.290957186981323,-0.214558234251464,4.76143018526581,4.77031167680021,"Insignificant"
"88","Chlorpyrifos","Onion",21,0.290957186981323,-0.143586713938472,4.50732027759158,4.5167014700381,"Insignificant"
"89","Chlorpyrifos","Orange",21,0.290957186981323,0.929998671815234,4.59749460931362,4.60669217197371,"Insignificant"
"90","Chlorpyrifos","Spinach",20,0.298142396999972,-0.334106991986483,3.15501916590345,3.16907475868068,"Insignificant"
"91","Chlorpyrifos","Strawberry",17,0.323380833381777,-1.36273235667695,2.05410969806462,2.07940900620388,"Insignificant"
"92","Cinerin1","Apple",21,0.290957186981323,-0.134623651661854,5.25458878530206,5.26263806348852,"Insignificant"
"93","Cinerin1","Avocado",14,0.356348322549899,-0.159474798500492,14.3049875812595,14.3094253492924,"Insignificant"
"94","Cinerin1","Carrot",21,0.290957186981323,2.00657522645904,6.20939019853187,6.21620324010403,"Insignificant"
"95","Cinerin1","Onion",20,0.298142396999972,-0.41695630482811,5.8770666980726,5.88462419042056,"Insignificant"
"96","Cinerin1","Orange",20,0.298142396999972,-2.12801529173574,5.68067887120991,5.68849728194535,"Insignificant"
"97","Cinerin1","Spinach",17,0.323380833381777,-2.09588458832645,3.2496313909114,3.2656820635505,"Insignificant"
"98","Cinerin1","Strawberry",21,0.290957186981323,-3.21981727332136,3.94558146721632,3.95629488272765,"Insignificant"
"99","Cinerin2","Apple",17,0.323380833381777,-3.5468736316064,3.21065445801268,3.22689900866999,"Insignificant"
"100","Cinerin2","Avocado",21,0.290957186981323,5.12245509575297,6.16991135295344,6.17676794027102,"Insignificant"
"101","Cinerin2","Carrot",20,0.298142396999972,-2.50065741309134,5.18148517367371,5.19005563495126,"Insignificant"
