Compound,Matrix,n,Repeatability,Reproducibility,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
Bitertanol,Carrot,21,0.007832764311059219,0.009814748854679001,0.290957186981323,2.37538853732531,12.3530412328896,12.3564672858437,Insignificant,0.02699726502519234,35.996353366923124
Bitertanol,Onion,19,0.006181319429244236,0.006181319429244236,0.305887645160749,-9.90894843136553,8.09220538597597,8.09798464188964,Insignificant,0.017331586450208193,23.108781933610928
Bitertanol,Orange,21,0.009079564852800592,0.009107584011591287,0.290957186981323,6.52543577273578,12.132249764407,12.135738149392,Insignificant,0.02575196423734783,34.33595231646378
Bitertanol,Spinach,19,0.007029277332580399,0.008448067478703636,0.305887645160749,-2.46292862709256,10.7383791740971,10.7427349654613,Insignificant,0.023348312020566836,31.131082694089116
Bitertanol,Strawberry,20,0.008457659865024484,0.011778449493440776,0.298142396999972,1.23471417322149,14.5259803014403,14.5290396312599,Insignificant,0.03209184823663578,42.78913098218104
Boscalid,Apple,21,0.0071669548541368755,0.0071669548541368755,0.290957186981323,1.5342833345822,9.14656580556355,9.15119238788916,Insignificant,0.019846553662923587,26.462071550564783
Boscalid,Avocado,18,0.004535045909088884,0.004535045909088884,0.314269680527355,2.50543698128675,5.70516869412444,5.71381792329055,Insignificant,0.012478939254854037,16.638585673138717
Boscalid,Carrot,21,0.006023839896477937,0.006496992735574123,0.290957186981323,-0.952397805571236,8.47832628700755,8.48331731774896,Insignificant,0.018187046819922562,24.249395759896753
Boscalid,Onion,21,0.005725744722592939,0.007535748783612424,0.290957186981323,-2.78601692901555,9.38902457120763,9.39353173643421,Insignificant,0.020632172098606273,27.5095627981417
Boscalid,Orange,21,0.00659033785288958,0.007564583803109323,0.290957186981323,0.246911473300955,9.71466845864688,9.71902460878069,Insignificant,0.02101012734339671,28.01350312452895
Boscalid,Spinach,21,0.004353202760781942,0.0061265867040798,0.290957186981323,0.117638273163122,7.53771642788086,7.54332983713433,Insignificant,0.01667841014281583,22.237880190421105
Boscalid,Strawberry,21,0.0046124504944045136,0.0046124504944045136,0.290957186981323,-3.12661210589693,6.03885565559506,6.04586087449658,Insignificant,0.012936064861823669,17.24808648243156
Buprofezin,Apple,21,0.004376005129887848,0.00491803730060529,0.290957186981323,1.36473510386874,6.34921375949885,6.35587692206714,Insignificant,0.01369824803833058,18.264330717774108
Buprofezin,Avocado,21,0.0024563517246912344,0.0024563517246912344,0.290957186981323,4.02270516530489,3.11828978339136,3.13183448762207,Insignificant,0.006797317596799281,9.063090129065708
Buprofezin,Carrot,21,0.0029365764153898256,0.003753173810597326,0.290957186981323,2.00469546525864,4.70412846948809,4.71311794273222,Insignificant,0.010311429885323834,13.748573180431778
Buprofezin,Onion,21,0.0028536578786936347,0.003733515322278806,0.290957186981323,-0.682596817954364,4.65721035237429,4.66629021289057,Insignificant,0.01023467837483566,13.646237833114213
Buprofezin,Orange,21,0.0031134762817566133,0.003661884630213736,0.290957186981323,4.52265047731611,4.67517314210385,4.68421818378535,Insignificant,0.01014923007744525,13.532306769927
Buprofezin,Spinach,21,0.00277144786668356,0.002880542575155226,0.290957186981323,0.0488527130839777,3.79767059654457,3.8088000793577,Insignificant,0.00811361557564116,10.818154100854882
Buprofezin,Strawberry,13,0.0013625784056139672,0.0014181565381440476,0.369800130816819,-0.969938269335249,1.87058538732315,1.90678835428031,Insignificant,0.00402806603468285,5.3707547129104665
Carbaryl,Apple,19,0.00278529989825528,0.00278529989825528,0.305887645160749,0.865957124563437,3.65524317236595,3.66801988824896,Insignificant,0.007829681626299424,10.439575501732566
Carbaryl,Avocado,21,0.0016967169769759533,0.0023148939806593508,0.290957186981323,4.52509117168907,2.86426828326695,2.87900831592844,Insignificant,0.0063312310456923055,8.441641394256408
Carbaryl,Carrot,20,0.00272000400420015,0.004059448639626306,0.298142396999972,-0.222873785222749,4.94787835483512,4.9568527417238,Insignificant,0.011009081183873096,14.678774911830795
Carbaryl,Onion,21,0.0028514632952397834,0.003667190083583754,0.290957186981323,-1.82744537548248,4.5904347029447,4.59964638278369,Insignificant,0.010069548790363649,13.4260650538182
Carbaryl,Orange,16,0.0020769919944327343,0.0020769919944327343,0.333333333333333,-0.411299676279854,2.65754218136807,2.67836546364787,Insignificant,0.005778951157666019,7.705268210221359
Carbaryl,Spinach,21,0.002428209336063309,0.0024394121759505846,0.290957186981323,-0.603378245754671,3.24807564467104,3.26108133571693,Insignificant,0.006908754799713681,9.21167306628491
Carbaryl,Strawberry,21,0.0035012017097271818,0.0035012017097271818,0.290957186981323,-1.78881558545857,4.49006350560793,4.49948067770585,Insignificant,0.009725514792500436,12.967353056667248
Carbendazim,Apple,21,0.004259786311474758,0.005464986655156092,0.290957186981323,-2.74849895285771,6.84429874334054,6.85048037532763,Insignificant,0.015001824877421478,20.002433169895305
Carbendazim,Avocado,16,0.0025934977047056,0.0030988012440026015,0.333333333333333,2.42763587028683,3.94892431558272,3.96296787285887,Insignificant,0.008587594768750985,11.450126358334648
Carbendazim,Carrot,21,0.005131190841228654,0.007239112450145494,0.290957186981323,-0.471483001507412,8.90263982631157,8.90739310694689,Insignificant,0.019701210957126392,26.268281276168523
Carbendazim,Onion,21,0.004568702710812899,0.006005896320773801,0.290957186981323,1.2478575924677,7.4846767042545,7.4903298626873704,Insignificant,0.016447477184365875,21.929969579154502
Carbendazim,Orange,21,0.004052265170846982,0.004224109721296138,0.290957186981323,1.3974654124291,5.56439921257221,5.57200095850049,Insignificant,0.01188396397603247,15.845285301376627
Carbendazim,Spinach,21,0.0035405611035288745,0.0035405611035288745,0.290957186981323,1.29957839139684,4.61027156538868,4.61944368850704,Insignificant,0.009907352153410282,13.20980287121371
Carbendazim,Strawberry,21,0.004686659904799595,0.004686659904799595,0.290957186981323,2.0206660190451,6.07214998190324,6.07911683449032,Insignificant,0.01307705481366648,17.43607308488864
Chlorantraniliprole,Apple,21,0.005996448656890677,0.005996448656890677,0.290957186981323,-0.321758490569705,7.62482705715748,7.63037638234293,Insignificant,0.016578013583822153,22.104018111762873
Chlorantraniliprole,Avocado,20,0.00486535879885754,0.0059734759133528706,0.298142396999972,6.00789453902435,7.55428077777858,7.56016183414111,Insignificant,0.016472120798671806,21.96282773156241
Chlorantraniliprole,Carrot,21,0.005964030843824055,0.006408178300468625,0.290957186981323,0.300200407264047,8.37097881580492,8.37603381197275,Insignificant,0.01794754487293003,23.930059830573374
Chlorantraniliprole,Onion,21,0.005918796710295933,0.007693218143873963,0.290957186981323,3.10082184635106,9.60921503426604,9.6136189678716,Insignificant,0.02108770206472537,28.116936086300495
Chlorantraniliprole,Orange,21,0.008058097013955755,0.008969692311352737,0.290957186981323,-0.112020368451825,11.6083222528311,11.6119680334657,Insignificant,0.02500413114396054,33.33884152528072
Chlorantraniliprole,Spinach,21,0.0027713590421470716,0.0028658234522442095,0.290957186981323,1.28135960403827,3.78375242876995,3.79492273002739,Insignificant,0.00807805749689914,10.770743329198853
Chlorantraniliprole,Strawberry,21,0.005802775228919838,0.00621729433416071,0.290957186981323,-0.282786870564728,8.12786529782526,8.13307139918543,Insignificant,0.017419799330500498,23.226399107334
Chlorpyrifos,Apple,21,0.0036227035666264997,0.004437171883445842,0.290957186981323,0.763624136793285,5.61254790479161,5.62008452500822,Insignificant,0.01224013949865369,16.32018599820492
Chlorpyrifos,Avocado,18,0.0016792938966520004,0.0023632005664671876,0.314269680527355,1.83854173641935,2.91252410289106,2.92943033404452,Insignificant,0.006453478314362633,8.60463775248351
Chlorpyrifos,Carrot,21,0.002834523034947472,0.0038437711285288466,0.290957186981323,-0.214558234251464,4.76143018526581,4.77031167680021,Insignificant,0.010502334088912551,14.003112118550067
Chlorpyrifos,Onion,21,0.003183721872022839,0.003461397026010986,0.290957186981323,-0.143586713938472,4.50732027759158,4.5167014700381,Insignificant,0.009686403350468147,12.915204467290863
Chlorpyrifos,Orange,21,0.003036624933521438,0.003610146581498833,0.290957186981323,0.929998671815234,4.59749460931362,4.60669217197371,Insignificant,0.009994061340921893,13.325415121229192
Chlorpyrifos,Spinach,20,0.0022649397209290405,0.0024080366543178856,0.298142396999972,-0.334106991986483,3.15501916590345,3.16907475868068,Insignificant,0.00676693360931631,9.02257814575508
Chlorpyrifos,Strawberry,17,0.0014523219919350297,0.0015754882645579202,0.323380833381777,-1.36273235667695,2.05410969806462,2.07940900620388,Insignificant,0.004433680431760162,5.9115739090135495
Cinerin1,Apple,21,0.0040756544608718075,0.0040756544608718075,0.290957186981323,-0.134623651661854,5.25458878530206,5.26263806348852,Insignificant,0.011347175673226928,15.12956756430257
Cinerin1,Avocado,14,0.01066060479572443,0.010786800330015903,0.356348322549899,-0.159474798500492,14.3049875812595,14.3094253492924,Insignificant,0.030432375302450704,40.57650040326761
Cinerin1,Carrot,21,0.0035180998762695996,0.005067394119246374,0.290957186981323,2.00657522645904,6.20939019853187,6.21620324010403,Insignificant,0.01377158646504536,18.362115286727146
Cinerin1,Onion,20,0.0037161930847252654,0.0046708254409299505,0.298142396999972,-0.41695630482811,5.8770666980726,5.88462419042056,Insignificant,0.012852285609538104,17.136380812717473
Cinerin1,Orange,20,0.0038270623541214214,0.004431905836030468,0.298142396999972,-2.12801529173574,5.68067887120991,5.68849728194535,Insignificant,0.012303451155787057,16.40460154104941
Cinerin1,Spinach,17,0.0023702038217401746,0.0024642901768903913,0.323380833381777,-2.09588458832645,3.2496313909114,3.2656820635505,Insignificant,0.006948843991565336,9.265125322087114
Cinerin1,Strawberry,21,0.002627545292432668,0.0030904424319730013,0.290957186981323,-3.21981727332136,3.94558146721632,3.95629488272765,Insignificant,0.008568602184681293,11.424802912908392
Cinerin2,Apple,17,0.002483385887574467,0.002483385887574467,0.323380833381777,-3.5468736316064,3.21065445801268,3.22689900866999,Insignificant,0.006935257428081936,9.247009904109248
Cinerin2,Avocado,21,0.004240854001159121,0.004783556378046436,0.290957186981323,5.12245509575297,6.16991135295344,6.17676794027102,Insignificant,0.013318133743535717,17.757511658047623
Cinerin2,Carrot,20,0.003995982690352049,0.003995982690352049,0.298142396999972,-2.50065741309134,5.18148517367371,5.19005563495126,Insignificant,0.011157017298885208,14.876023065180277
Cinerin2,Onion,21,0.00467464585102838,0.00497364763923721,0.290957186981323,1.02096187898269,6.51449170692391,6.52098599018864,Insignificant,0.013950842788043009,18.60112371739068
Cinerin2,Orange,21,0.0067530006965793804,0.0068789851442780485,0.290957186981323,5.38704269683314,9.12191121816418,9.12655029881092,Insignificant,0.0194085823094688,25.878109745958398
Cinerin2,Spinach,21,0.004755934148978631,0.005889151871146638,0.290957186981323,2.05364737364691,7.43124332014829,7.43693709586847,Insignificant,0.01622256188533442,21.63008251377923
Cinerin2,Strawberry,20,0.005475785525955907,0.005475785525955907,0.298142396999972,-2.90504182429764,7.06810703341428,7.07439226539562,Insignificant,0.015249351357865157,20.332468477153544
Clofentezine,Apple,21,0.004572208700252209,0.004640801585781457,0.290957186981323,-3.82390161053541,6.16044086021452,6.16730797648833,Insignificant,0.013104520392112566,17.47269385615009
Clofentezine,Avocado,20,0.004252731895312093,0.00459818650831236,0.298142396999972,5.96316191066189,5.99724472762473,6.00465096503631,Insignificant,0.012872408530951155,17.163211374601538
Clofentezine,Carrot,21,0.003696176426211557,0.0045073418830595055,0.290957186981323,-0.688570908521404,5.70688592221359,5.71429812083827,Insignificant,0.012439221446063865,16.58562859475182
Clofentezine,Onion,19,0.0026515619141677022,0.002720282929614357,0.305887645160749,-4.96705278420942,3.60013799281199,3.61310957746238,Insignificant,0.007679356659954883,10.239142213273178
Clofentezine,Orange,21,0.004912648646600601,0.00551077688790912,0.290957186981323,3.76460888595693,7.11783966642855,7.12378393844449,Insignificant,0.01535116664090852,20.468222187878027
Clofentezine,Spinach,21,0.0038268767192009665,0.004041750441084092,0.290957186981323,-1.86458566320186,5.3046760532431,5.31264944396926,Insignificant,0.011351102843761672,15.134803791682229
